oracion_español,oracion_transformada_lse
Resucitarán eras geológicas.,FUTURO ELLOS ERAS GEOLÓGICAS RESUCITAR
Operarán con nanorobots.,FUTURO ELLOS NANOROBOTS OPERAR
Diagnosticarán males cósmicos.,FUTURO ELLOS MALES CÓSMICOS DIAGNOSTICAR
Rehabilitarán ecosistemas dañados.,FUTURO ELLOS ECOSISTEMAS DAÑADOS REHABILITAR
Vacunarán contra virus alienígenas.,FUTURO ELLOS VIRUS ALIENÍGENAS VACUNAR
Donarán cuerpos virtuales.,FUTURO ELLOS CUERPOS VIRTUALES DONAR
Organizan mercados locales.,ELLOS MERCADOS LOCALES ORGANIZAR
Imparten talleres creativos.,ELLOS TALLERES CREATIVOS IMPARTIR
Instalan energías solares.,ELLOS ENERGÍAS SOLARES INSTALAR
Graban podcasts educativos.,ELLOS PODCASTS EDUCATIVOS GRABAR
Celebran fiestas populares.,ELLOS FIESTAS POPULARES CELEBRAR
Entregan ayudas sociales.,ELLOS AYUDAS SOCIALES ENTREGAR
Rodan videos virales.,ELLOS VIDEOS VIRALES RODAR
Inauguran espacios verdes.,ELLOS ESPACIOS VERDES INAUGURAR
Realizan terapias naturales.,ELLOS TERAPIAS NATURALES REALIZAR
Plantan huertos comunitarios.,ELLOS HUERTOS COMUNITARIOS PLANTAR
Practican yoga al aire libre.,ELLOS YOGA AIRE LIBRE PRACTICAR
Construyen viviendas sostenibles.,ELLOS VIVIENDAS SOSTENIBLES CONSTRUIR
Imparten educación online.,ELLOS EDUCACIÓN ONLINE IMPARTIR
Ajustan dosis homeopáticas.,ELLOS DOSIS HOMEOPÁTICAS AJUSTAR
Pescán con técnicas sostenibles.,ELLOS TÉCNICAS SOSTENIBLES PESCAR
Competen en deportes urbanos.,ELLOS DEPORTES URBANOS COMPETIR
Tocan en calles concurridas.,ELLOS CALLES CONCURRIDAS TOCAR
Participan en voluntariados.,ELLOS VOLUNTARIADOS PARTICIPAR
Podán árboles públicos.,ELLOS ÁRBOLES PÚBLICOS PODAR
Degustan productos km0.,ELLOS PRODUCTOS KM0 DEGUSTAR
Renovan centros históricos.,ELLOS CENTROS HISTÓRICOS RENOVAR
Rescatan patrimonio cultural.,ELLOS PATRIMONIO CULTURAL RESCATAR
Recolectan residuos reciclables.,ELLOS RESIDUOS RECICLABLES RECOLECTAR
Vuelan drones de vigilancia.,ELLOS DRONES VIGILANCIA VOLAR
Limpian ríos urbanos.,ELLOS RÍOS URBANOS LIMPIAR
Rinden exámenes profesionales.,ELLOS EXÁMENES PROFESIONALES RENDIR
Digitalizan administraciones públicas.,ELLOS ADMINISTRACIONES PÚBLICAS DIGITALIZAR
Patentan diseños ecológicos.,ELLOS DISEÑOS ECOLÓGICOS PATENTAR
Practican mindfulness colectivo.,ELLOS MINDFULNESS COLECTIVO PRACTICAR
Entrevistan a emprendedores.,ELLOS EMPRENDEDORES ENTREVISTAR
Esquían en pistas artificiales.,ELLOS PISTAS ARTIFICIALES ESQUIAR
Sirven comidas balanceadas.,ELLOS COMIDAS BALANCEADAS SERVIR
Calibran instrumentos médicos.,ELLOS INSTRUMENTOS MÉDICOS CALIBRAR
Reparan aparatos reutilizables.,ELLOS APARATOS REUTILIZABLES REPARAR
Certifican comercio justo.,ELLOS COMERCIO JUSTO CERTIFICAR
Tasán arte contemporáneo.,ELLOS ARTE CONTEMPORÁNEO TASAR
Navegan en barcos ecológicos.,ELLOS BARCOS ECOLÓGICOS NAVEGAR
Programan apps móviles.,ELLOS APPS MÓVILES PROGRAMAR
Rastrean delitos cibernéticos.,ELLOS DELITOS CIBERNÉTICOS RASTREAR
Cultivan plantas autóctonas.,ELLOS PLANTAS AUTÓCTONAS CULTIVAR
Clasifican basura orgánica.,ELLOS BASURA ORGÁNICA CLASIFICAR
Sondean opiniones públicas.,ELLOS OPINIONES PÚBLICAS SONDEAR
Afinan guitarras electroacústicas.,ELLOS GUITARRAS ELECTROACÚSTICAS AFINAR
Crian mascotas terapéuticas.,ELLOS MASCOTAS TERAPÉUTICAS CRIAR
Hornear pan integral.,ELLOS PAN INTEGRAL HORNEAR
Ensayan obras clásicas.,ELLOS OBRAS CLÁSICAS ENSAYAR
Pescan con cañas deportivas.,ELLOS CAÑAS DEPORTIVAS PESCAR
Proyectan arte callejero.,ELLOS ARTE CALLEJERO PROYECTAR
Analizan datos climáticos.,ELLOS DATOS CLIMÁTICOS ANALIZAR
Crian insectos polinizadores.,ELLOS INSECTOS POLINIZADORES CRIAR
Cultivan flores nativas.,ELLOS FLORES NATIVAS CULTIVAR
Tiñen ropa reciclada.,ELLOS ROPA RECICLADA TEÑIR
Graban tutoriales online.,ELLOS TUTORIALES ONLINE GRABAR
Funden joyas éticas.,ELLOS JOYAS ÉTICAS FUNDIR
Tallan madera recuperada.,ELLOS MADERA RECUPERADA TALLAR
Modelan figuras de arena.,ELLOS FIGURAS ARENA MODELAR
Excavan yacimientos prehistóricos.,ELLOS YACIMIENTOS PREHISTÓRICOS EXCAVAR
Restauran monumentos históricos.,ELLOS MONUMENTOS HISTÓRICOS RESTAURAR
Compilan archivos sonoros.,ELLOS ARCHIVOS SONOROS COMPILAR
Modelan avatares digitales.,ELLOS AVATARES DIGITALES MODELAR
Bordan uniformes escolares.,ELLOS UNIFORMES ESCOLARES BORDAR
Soldan esculturas metálicas.,ELLOS ESCULTURAS METÁLICAS SOLDAR
Plantan jardines verticales.,ELLOS JARDINES VERTICALES PLANTAR
Encuadernan libros artesanales.,ELLOS LIBROS ARTESANALES ENCUADERNAR
Prensan flores medicinales.,ELLOS FLORES MEDICINALES PRENSAR
Forjan herramientas manuales.,ELLOS HERRAMIENTAS MANUALES FORJAR
Esmaltan objetos cotidianos.,ELLOS OBJETOS COTIDIANOS ESMALTAR
Pulien muebles antiguos.,ELLOS MUEBLES ANTIGUOS PULIR
Graban canciones protesta.,ELLOS CANCIONES PROTESTA GRABAR
Trenzan pulseras solidarias.,ELLOS PULSERAS SOLIDARIAS TRENZAR
Tallan sellos personalizados.,ELLOS SELLOS PERSONALIZADOS TALLAR
Moldean chocolate artesanal.,ELLOS CHOCOLATE ARTESANAL MOLDEAR
Cocen cerámica tradicional.,ELLOS CERÁMICA TRADICIONAL COCER
Tallan jabones naturales.,ELLOS JABONES NATURALES TALLAR
Estampan posters reivindicativos.,ELLOS POSTERS REIVINDICATIVOS ESTAMPAR
Anillan documentos importantes.,ELLOS DOCUMENTOS IMPORTANTES ANILLAR
Catalogán fondos bibliográficos.,ELLOS FONDOS BIBLIOGRÁFICOS CATALOGAR
Digitalizan facturas electrónicas.,ELLOS FACTURAS ELECTRÓNICAS DIGITALIZAR
Navegan en botes salvavidas.,ELLOS BOTES SALVAVIDAS NAVEGAR
Instalan alarmas comunitarias.,ELLOS ALARMAS COMUNITARIAS INSTALAR
Fotografían patrimonio cultural.,ELLOS PATRIMONIO CULTURAL FOTOGRAFIAR
Crian animales de terapia.,ELLOS ANIMALES TERAPIA CRIAR
Clasifican libros donados.,ELLOS LIBROS DONADOS CLASIFICAR
Analizan tendencias sociales.,ELLOS TENDENCIAS SOCIALES ANALIZAR
Clonan plantas ornamentales.,ELLOS PLANTAS ORNAMENTALES CLONAR
Transcriben actas judiciales.,ELLOS ACTAS JUDICIALES TRANSCRIBIR
Interpretan roles teatrales.,ELLOS ROLES TEATRALES INTERPRETAR
Ensamblan kits educativos.,ELLOS KITS EDUCATIVOS ENSAMBLAR
Observan constelaciones.,ELLOS CONSTELACIONES OBSERVAR
Lanzan campañas ambientales.,ELLOS CAMPAÑAS AMBIENTALES LANZAR
Examinan muestras gratuitas.,ELLOS MUESTRAS GRATUITAS EXAMINAR
Aíslan componentes naturales.,ELLOS COMPONENTES NATURALES AISLAR
Sintetizan aromas terapéuticos.,ELLOS AROMAS TERAPÉUTICOS SINTETIZAR
Transplantan cactus decorativos.,ELLOS CACTUS DECORATIVOS TRANSPLANTAR
Resucitan recetas ancestrales.,ELLOS RECETAS ANCESTRALES RESUCITAR
Operan equipos médicos.,ELLOS EQUIPOS MÉDICOS OPERAR
Diagnostican problemas técnicos.,ELLOS PROBLEMAS TÉCNICOS DIAGNOSTICAR
Rehabilitan espacios públicos.,ELLOS ESPACIOS PÚBLICOS REHABILITAR
Vacunan a mascotas.,ELLOS MASCOTAS VACUNAR
Donan sangre regularmente.,ELLOS SANGRE REGULARMENTE DONAR
Investigan curas naturales.,ELLOS CURAS NATURALES INVESTIGAR
Prueban terapias alternativas.,ELLOS TERAPIAS ALTERNATIVAS PROBAR
Auscultán pacientes gratuitamente.,ELLOS PACIENTES GRATUITAMENTE AUSCULTAR
Radiografían lesiones deportivas.,ELLOS LESIONES DEPORTIVAS RADIOGRAFIAR
Pesan bebés en controles.,ELLOS BEBÉS CONTROLES PESAR
Curan heridas menores.,ELLOS HERIDAS MENORES CURAR
Analizan muestras de suelo.,ELLOS MUESTRAS SUELO ANALIZAR
Transplantan plantas de interior.,ELLOS PLANTAS INTERIOR TRANSPLANTAR
Operan de cirugía menor.,ELLOS CIRUGÍA MENOR OPERAR
Revisan vehículos eléctricos.,ELLOS VEHÍCULOS ELÉCTRICOS REVISAR
Miden la calidad del aire.,ELLOS CALIDAD AIRE MEDIR
Hacen controles rutinarios.,ELLOS CONTROLES RUTINARIOS HACER
Hacen ejercicios de rehabilitación.,ELLOS EJERCICIOS REHABILITACIÓN HACER
Ponen vacunas antigripales.,ELLOS VACUNAS ANTIGRIPALES PONER
Suturan heridas leves.,ELLOS HERIDAS LEVES SUTURAR
Atienden partos naturales.,ELLOS PARTOS NATURALES ATENDER
Reanimán personas en riesgo.,ELLOS PERSONAS RIESGO REANIMAR
Hacen intervenciones quirúrgicas.,ELLOS INTERVENCIONES QUIRÚRGICAS HACER
Hacen diálisis portátiles.,ELLOS DIÁLISIS PORTÁTILES HACER
Hacen electroencefalogramas.,ELLOS ELECTROENCEFALOGRAMAS HACER
Hacen ecografías Doppler.,ELLOS ECOGRAFÍAS DOPPLER HACER
Hacen cirugías laparoscópicas.,ELLOS CIRUGÍAS LAPAROSCÓPICAS HACER
Hacen endoscopias digestivas.,ELLOS ENDOSCOPIAS DIGESTIVAS HACER
Hacen biopsias guiadas.,ELLOS BIOPSIAS GUIADAS HACER
Hacen resonancias magnéticas.,ELLOS RESONANCIAS MAGNÉTICAS HACER
Hacen mastectomías preventivas.,ELLOS MASTECTOMÍAS PREVENTIVAS HACER
Hacen cesáreas programadas.,ELLOS CESÁREAS PROGRAMADAS HACER
Ponen escayolas ortopédicas.,ELLOS ESCAYOLAS ORTOPÉDICAS PONER
Hacen artroscopias deportivas.,ELLOS ARTROSCOPIAS DEPORTIVAS HACER
Hacen cateterismos cardíacos.,ELLOS CATETERISMOS CARDÍACOS HACER
Hacen autopsias forenses.,ELLOS AUTOPSIAS FORENSES HACER
Hacen liposucciones estéticas.,ELLOS LIPOSUCCIONES ESTÉTICAS HACER
Hacen blanqueamientos dentales.,ELLOS BLANQUEAMIENTOS DENTALES HACER
Hacen ortodoncias invisibles.,ELLOS ORTODONCIAS INVISIBLES HACER
Hacen implantes cocleares.,ELLOS IMPLANTES COCLEARES HACER
Hacen rinoplastias funcionales.,ELLOS RINOPLASTIAS FUNCIONALES HACER
Hacen cirugías refractivas.,ELLOS CIRUGÍAS REFRACTIVAS HACER
Hacen vasectomías voluntarias.,ELLOS VASECTOMÍAS VOLUNTARIAS HACER
Hacen inseminaciones artificiales.,ELLOS INSEMINACIÓN ARTIFICIAL HACER
Hacen amniocentesis diagnósticas.,ELLOS AMNIOCENTESIS DIAGNÓSTICA HACER
Hacen cirugías bariátricas.,ELLOS CIRUGÍA BARIÁTRICA HACER
Hacen marcapasos artificiales.,ELLOS MARCAPASOS ARTIFICIAL HACER
Hacen angioplastias coronarias.,ELLOS ANGIOPLASTIA CORONARIA HACER
Hacen lobectomías pulmonares.,ELLOS LOBECTOMÍA PULMONAR HACER
Hacen prostatectomías radicales.,ELLOS PROSTATECTOMÍA RADICAL HACER
Extirpan tumores benignos.,ELLOS TUMOR BENIGNO EXTIRPAR
Transplantan hígados sanos.,ELLOS HÍGADO SANO TRASPLANTAR
Hacen apicectomías dentales.,ELLOS APICECTOMÍA DENTAL HACER
Hacen gingivectomías periodontales.,ELLOS GINGIVECTOMÍA PERIODONTAL HACER
Hacen extracciones dentales.,ELLOS EXTRACCIÓN DENTAL HACER
Hacen liftings faciales.,ELLOS LIFTING FACIAL HACER
Hacen blefaroplastias estéticas.,ELLOS BLEFAROPLASTIA ESTÉTICA HACER
Hacen otoplastias correctivas.,ELLOS OTOPLASTIA CORRECTIVA HACER
Hacen mamoplastias de aumento.,ELLOS MAMOPLASTIA AUMENTO HACER
Hacen abdominoplastias postparto.,ELLOS ABDOMINOPLASTIA POSTPARTO HACER
Hacen lipectomías abdominales.,ELLOS LIPECTOMÍA ABDOMINAL HACER
Hacen dermoabrasiones faciales.,ELLOS DERMOABRASIÓN FACIAL HACER
Hacen peelings químicos.,ELLOS PEELING QUÍMICO HACER
Hacen mesoterapias anticelulíticas.,ELLOS MESOTERAPIA ANTICELULÍTICA HACER
Hacen infiltraciones articulares.,ELLOS INFILTRACIÓN ARTICULAR HACER
El año pasado organizaron un campeonato de videojuegos en el centro comercial.,PASADO AÑO CENTRO COMERCIAL ELLOS CAMPEONATO VIDEOJUEGOS ORGANIZAR
La semana que viene celebrarán un festival de luces en el jardín japonés.,PRÓXIMA SEMANA JARDÍN JAPONÉS ELLOS FESTIVAL LUCES CELEBRAR
Ayer instalaron un nuevo sistema de sonido en el teatro municipal.,AYER TEATRO MUNICIPAL ELLOS SISTEMA SONIDO NUEVO INSTALAR
Mañana por la tarde presentarán el plan de movilidad en el auditorio.,MAÑANA TARDE AUDITORIO ELLOS PLAN MOVILIDAD PRESENTAR
El mes pasado grabaron un álbum en vivo en el estudio de grabación.,PASADO MES ESTUDIO GRABACIÓN ELLOS ÁLBUM VIVO GRABAR
Hace dos horas entregaron los certificados en la escuela de idiomas.,HACE DOS HORAS ESCUELA IDIOMAS ELLOS CERTIFICADOS ENTREGAR
El verano próximo rodarán un reality show en la isla desierta.,PRÓXIMO VERANO ISLA DESIERTA ELLOS REALITY SHOW RODAR
Anteayer inauguraron una galería de arte moderno en el distrito cultural.,ANTEAYER DISTRITO CULTURAL ELLOS GALERÍA ARTE MODERNO INAUGURAR
El jueves pasado realizaron un congreso médico en el hospital universitario.,PASADO JUEVES HOSPITAL UNIVERSITARIO ELLOS CONGRESO MÉDICO REALIZAR
Esta mañana han plantado arbustos en el parque ecológico.,HOY MAÑANA PARQUE ECOLÓGICO ELLOS ARBUSTOS PLANTAR
El fin de semana pasado practicaron equitación en el club hípico.,PASADO FIN SEMANA CLUB HÍPICO ELLOS EQUITACIÓN PRACTICAR
El año que viene construirán un mirador en la montaña más alta.,PRÓXIMO AÑO MONTAÑA MÁS ALTA ELLOS MIRADOR CONSTRUIR
El lunes próximo impartirán un seminario web en la plataforma virtual.,PRÓXIMO LUNES PLATAFORMA VIRTUAL ELLOS SEMINARIO WEB IMPARTIR
Hace un momento ajustaron la iluminación en el estudio de fotografía.,HACE UN MOMENTO ESTUDIO FOTOGRAFÍA ELLOS ILUMINACIÓN AJUSTAR
El domingo por la mañana pescaron en el río de aguas cristalinas.,DOMINGO MAÑANA RÍO AGUAS CRISTALINAS ELLOS PESCAR
El invierno pasado compitieron en torneos de ajedrez en el club social.,PASADO INVIERNO CLUB SOCIAL ELLOS TORNEOS AJEDREZ COMPETIR
El sábado por la noche tocaron jazz en el café literario.,SÁBADO NOCHE CAFÉ LITERARIO ELLOS JAZZ TOCAR
El mes de julio participarán en un hackathon en el centro tecnológico.,MES JULIO CENTRO TECNOLÓGICO ELLOS HACKATHON PARTICIPAR
La próxima primavera podarán los árboles en el bulevar principal.,PRÓXIMA PRIMAVERA BULEVAR PRINCIPAL ELLOS ÁRBOLES PODAR
Ayer al mediodía degustaron cervezas artesanales en la feria gastronómica.,AYER MEDIODÍA FERIA GASTRONÓMICA ELLOS CERVEZAS ARTESANALES DEGUSTAR
El día de su aniversario donó sillas de ruedas en el hospital.,DÍA ANIVERSARIO HOSPITAL ÉL SILLAS RUEDAS DONAR
Hace una semana rescataron a un delfín varado en la playa.,HACE UNA SEMANA PLAYA ELLOS DELFÍN VARADO RESCATAR
El otoño pasado recolectaron piñas en el bosque de coníferas.,PASADO OTOÑO BOSQUE CONÍFERAS ELLOS PIÑAS RECOLECTAR
El viernes por la tarde volaron aviones de papel en el parque infantil.,VIERNES TARDE PARQUE INFANTIL ELLOS AVIONES PAPEL VOLAR
Esta tarde los adolescentes bailan breakdance en la plaza del mercado.,HOY TARDE PLAZA MERCADO ADOLESCENTES BREAKDANCE BAILAR
El martes rindieron honores a la bandera en el colegio militar.,MARTES COLEGIO MILITAR ELLOS HONORES BANDERA RENDIR
El año pasado digitalizaron partituras en el conservatorio.,PASADO AÑO CONSERVATORIO ELLOS PARTITURAS DIGITALIZAR
La semana pasada patentaron un vehículo autónomo en la empresa tecnológica.,PASADA SEMANA EMPRESA TECNOLÓGICA ELLOS VEHÍCULO AUTÓNOMO PATENTAR
Mañana al amanecer meditarán en el retiro espiritual.,MAÑANA AMANECER ELLOS RETIRO ESPIRITUAL MEDITAR
El jueves que viene entrevistarán al astronauta en el planetario.,JUEVES PRÓXIMO ELLOS PLANETARIO ASTRONAUTA ENTREVISTAR
Anoche esquiaron de fondo en el valle nevado.,PASADO NOCHE ELLOS VALLE NEVADO ESQUIAR FONDO
El día de Navidad repartieron juguetes en el orfanato rural.,PASADO DÍA NAVIDAD ELLOS ORFANAO RURAL JUGUETES REPARTIR
Hace cinco minutos calibraron los microscopios en el laboratorio escolar.,PASADO CINCO MINUTOS ELLOS LABORATORIO ESCOLAR MICROSCOPIOS CALIBRAR
El verano pasado repararon el malecón en el paseo costero.,PASADO VERANO ELLOS PASEO COSTERO MALECÓN REPARAR
El lunes pasado certificaron los productos en la cooperativa agrícola.,PASADO LUNES ELLOS COOPERATIVA AGRÍCOLA PRODUCTOS CERTIFICAR
Esta mañana han tasado una antigüedad en la casa de subastas.,PASADO MAÑANA ELLOS CASA SUBASTAS ANTIGÜEDAD TASAR
El domingo por la tarde navegaron en catamarán en la bahía.,PASADO DOMINGO TARDE ELLOS BAHÍA CATAMARÁN NAVEGAR
El mes que viene programarán el robot en el taller de robótica.,FUTURO MES ELLOS TALLER ROBÓTICA ROBOT PROGRAMAR
Ayer por la noche rastrearon cometas en el observatorio amateur.,PASADO NOCHE ELLOS OBSERVATORIO AMATEUR COMETAS RASTREAR
El invierno próximo cultivarán azafrán en la meseta alta.,FUTURO INVIERNO ELLOS MESETA ALTA AZAFRÁN CULTIVAR
El sábado por la mañana clasificaron correo en la oficina postal.,PASADO SÁBADO MAÑANA ELLOS OFICINA POSTAL CORREO CLASIFICAR
Hace tres días sondearon el acuífero en la zona desértica.,PASADO TRES DÍAS ELLOS ZONA DESÉRTICA ACUÍFERO SONDEAR
La próxima semana afinarán los violines en la sala de conciertos.,FUTURO SEMANA ELLOS SALA CONCIERTOS VIOLINES AFINAR
El año pasado criaron pavos en la granja familiar.,PASADO AÑO ELLOS GRANJA FAMILIAR PAVOS CRIAR
Esta tarde hornean pasteles en la pastelería francesa.,HOY TARDE ELLOS PASTELERÍA FRANCESA PASTELES HORNEAR
El miércoles próximo ensayarán la ópera en el teatro lírico.,FUTURO MIÉRCOLES ELLOS TEATRO LÍRICO ÓPERA ENSAYAR
El fin de semana que viene pescarán en el lago de montaña.,FUTURO FIN SEMANA ELLOS LAGO MONTAÑA PESCAR
Ayer al anochecer proyectaron cine independiente en la fachada del museo.,PASADO ANOCHECER ELLOS FACHADA MUSEO CINE INDEPENDIENTE PROYECTAR
El jueves pasado analizaron muestras de aire en el laboratorio ambiental.,PASADO JUEVES ELLOS LABORATORIO AMBIENTAL MUESTRAS AIRE ANALIZAR
La semana pasada criaron caracoles en la granja helicícola.,PASADO SEMANA ELLOS GRANJA HELICÍCOLA CARACOLES CRIAR
El mes pasado cultivaron espárragos en la tierra fértil.,PASADO MES ELLOS TIERRA FÉRTIL ESPÁRRAGOS CULTIVAR
Mañana por la mañana teñirán seda en el taller textil.,MAÑANA MAÑANA ELLOS TALLER TEXTIL SEDA TEÑIR
Anoche grabaron un audiolibro en el estudio de locución.,PASADO NOCHE ELLOS ESTUDIO LOCUCIÓN AUDIOLIBRO GRABAR
El lunes próximo fundirán cobre en la fundición artesanal.,FUTURO LUNES PRÓXIMO FUNDICIÓN ARTESANAL COBRE FUNDIR
Hace cuatro días tallaron alabastro en el taller de escultura.,PASADO CUATRO DÍAS TALLER ESCULTURA ALABASTRO TALLAR
Esta tarde los vidrieros modelan vidrio en el estudio de vitrales.,HOY TARDE ESTUDIO VITRALES VIDRIEROS VIDRIO MODELAR
El año que veniré excavarán tumbas en la necrópolis antigua.,FUTURO AÑO PRÓXIMO NECRÓPOLIS ANTIGUA TUMBAS EXCAVAR
El verano pasado restauraron retablos en la iglesia colonial.,PASADO VERANO IGLESIA COLONIAL RETABLOS RESTAURAR
El año pasado compilaron datos genéticos en el biobanco.,PASADO AÑO BIOBANCO DATOS GENÉTICOS COMPILAR
La semana que veniré modelarán prótesis en el laboratorio biomédico.,FUTURO SEMANA PRÓXIMA LABORATORIO BIOMÉDICO PRÓTESIS MODELAR
Mañana por la tarde bordarán un estandarte en el taller medieval.,MAÑANA TARDE TALLER MEDIEVAL ESTANDARTE BORDAR
Anoche soldaron la carrocería en la fábrica de automóviles.,PASADO NOCHE FÁBRICA AUTOMÓVILES CARROCERÍA SOLDAR
El día de su primera comunión plantaron un olivo en el atrio.,PASADO DÍA PRIMERA COMUNIÓN ATRIO OLIVO PLANTAR
Hace una hora encuadernaron pergaminos en el scriptorium.,PASADO HORA SCRIPTORIUM PERGAMINOS ENCUADERNAR
El otoño pasado prensaron mosto en la bodega experimental.,PASADO OTOÑO BODEGA EXPERIMENTAL MOSTO PRENSAR
El viernes por la tarde forjaron rejas en la herrería artística.,PASADO VIERNES TARDE HERRERÍA ARTÍSTICA REJAS FORJAR
Esta mañana han esmaltado joyas en el taller de bisutería.,HOY MAÑANA TALLER BISUTERÍA JOYAS ESMALTAR
El martes pulieron granito en el monumento conmemorativo.,PASADO MARTES MONUMENTO CONMEMORATIVO GRANITO PULIR
El año pasado grabaron lápidas en el taller funerario.,PASADO AÑO TALLER FUNERARIO LÁPIDAS GRABAR
La semana pasada trenzaron redes en el puerto pesquero.,PASADO SEMANA PUERTO PESQUERO REDES TRENZAR
Mañana al amanecer tallarán sandías en el festival agrícola.,MAÑANA AMANECER FESTIVAL AGRÍCOLA SANDÍAS TALLAR
El jueves que veniré moldearán porcelana en el taller de cerámica.,FUTURO JUEVES PRÓXIMO TALLER CERÁMICA PORCELANA MOLDEAR
Anoche cocieron ladrillos en el horno industrial.,PASADO NOCHE HORNO INDUSTRIAL LADRILLOS COCINAR
El día de Navidad tallaron mazapanes en la confitería tradicional.,PASADO DÍA NAVIDAD CONFITERÍA TRADICIONAL MAZAPANES TALLAR
Hace cinco minutos estamparon playeras en la fábrica textil.,PASADO CINCO MINUTOS FÁBRICA TEXTIL PLAYERAS ESTAMPAR
El verano pasado anillaron flamencos en la laguna costera.,PASADO VERANO LAGUNA COSTERA FLAMENCOS ANILLAR
El lunes pasado catalogaron insectos en el museo entomológico.,PASADO LUNES MUSEO ENTOMOLÓGICO INSECTOS CATALOGAR
Esta mañana han digitalizado manuscritos en la biblioteca digital.,HOY MAÑANA BIBLIOTECA DIGITAL MANUSCRITOS DIGITALIZAR
El domingo por la tarde navegaron en bote de remos en el estanque.,PASADO DOMINGO TARDE ESTANQUE BOTE REMOS NAVEGAR
El mes que veniré instalarán cámaras en la reserva natural.,FUTURO MES PRÓXIMO RESERVA NATURAL CÁMARAS INSTALAR
Ayer por la noche fotografiaron la Vía Láctea en el desierto.,PASADO NOCHE DESIERTO VÍA LÁCTEA FOTOGRAFIAR
El invierno próximo criarán cabras en la granja ecológica.,FUTURO INVIERNO PRÓXIMO GRANJA ECOLÓGICA CABRAS CRIAR
El sábado por la mañana clasificaron rocas en el laboratorio geológico.,PASADO SÁBADO MAÑANA LABORATORIO GEOLÓGICO ROCAS CLASIFICAR
Hace tres días analizaron orina en el laboratorio clínico.,PASADO TRES DÍAS LABORATORIO CLÍNICO ORINA ANALIZAR
La próxima semana clonarán embriones en el instituto de genética.,FUTURO PRÓXIMA SEMANA INSTITUTO GENÉTICA EMBRIONES CLONAR
El año pasado transcribieron conferencias en la universidad online.,PASADO AÑO UNIVERSIDAD ONLINE CONFERENCIAS TRANSCRIBIR
Esta tarde interpretan blues en el club nocturno.,HOY TARDE CLUB NOCTURNO BLUES INTERPRETAR
El miércoles próximo ensamblarán drones en la fábrica tecnológica.,FUTURO MIÉRCOLES PRÓXIMO FÁBRICA TECNOLÓGICA DRONES ENSAMBLAR
El fin de semana que veniré observarán marsopas en el estuario.,FUTURO FIN SEMANA PRÓXIMO ESTUARIO MARSOPAS OBSERVAR
Ayer al anochecer lanzaron faroles en el festival tradicional.,PASADO ANOCHECER FESTIVAL TRADICIONAL FAROLES LANZAR
El jueves pasado examinaron piel en la clínica dermatológica.,PASADO JUEVES CLÍNICA DERMATOLÓGICA PIEL EXAMINAR
La semana pasada aislaron levaduras en el laboratorio de biotecnología.,PASADO SEMANA LABORATORIO BIOTECNOLOGÍA LEVADURAS AISLAR
El mes pasado sintetizaron enzimas en la planta farmacéutica.,PASADO MES PLANTA FARMACÉUTICA ENZIMAS SINTETIZAR
Mañana por la mañana transplantarán médula en el hospital oncológico.,FUTURO MAÑANA MAÑANA HOSPITAL ONCOLÓGICO MÉDULA TRANSPLANTAR
Anoche resucitaron un paciente en la unidad de trauma.,PASADO NOCHE UNIDAD TRAUMA PACIENTE RESUCITAR
El lunes próximo operarán de vesícula en el quirófano.,FUTURO LUNES QUIRÓFANO VESÍCULA OPERAR
Hace cuatro días diagnosticaron diabetes en el centro de salud.,PASADO HACE CUATRO DÍAS CENTRO SALUD DIABETES DIAGNOSTICAR
Esta tarde rehabilitan cadera en la clínica de rehabilitación.,HOY TARDE CLÍNICA REHABILITACIÓN CADERA REHABILITAR
El año que veniré vacunarán ancianos en el residencial.,FUTURO AÑO RESIDENCIAL ANCIANOS VACUNAR
El verano pasado donaron plasma en el banco de sangre.,PASADO VERANO BANCO SANGRE PLASMA DONAR
El año pasado investigaron Alzheimer en el centro neurológico.,PASADO AÑO CENTRO NEUROLÓGICO ALZHEIMER INVESTIGAR
La semana que veniré probarán vacunas en el ensayo clínico.,FUTURO SEMANA ENSAYO CLÍNICO VACUNAS PROBAR
Mañana por la tarde auscultarán corazón en la consulta cardiológica.,FUTURO MAÑANA TARDE CONSULTA CARDIOLÓGICA CORAZÓN AUSCULTAR
Anoche radiografiaron columna en el servicio de radiología.,PASADO NOCHE SERVICIO RADIOLOGÍA COLUMNA RADIOGRAFIAR
El día de su nacimiento midieron al bebé en la sala de neonatos.,PASADO DÍA NACIMIENTO SALA NEONATOS BEBÉ MEDIR
Hace una hora curaron una quemadura en el centro de salud.,PASADO HACE UNA HORA CENTRO SALUD QUEMADURA CURAR
El otoño pasado analizaron heces en el laboratorio de análisis.,PASADO OTOÑO LABORATORIO ANÁLISIS HECES ANALIZAR
El viernes por la tarde transplantaron páncreas en el hospital general.,PASADO VIERNES TARDE HOSPITAL GENERAL PÁNCREAS TRANSPLANTAR
Esta mañana han operado de próstata en la clínica urológica.,HOY MAÑANA CLÍNICA UROLÓGICA PRÓSTATA OPERAR
El martes revisaron muelas en la consulta odontológica.,PASADO MARTES CONSULTA ODONTOLÓGICA MUELAS REVISAR
El año pasado midieron glucosa en el ambulatorio.,PASADO AÑO AMBULATORIO GLUCOSA MEDIR
